year,Male,Female,
Jan-02,5.7,4.5,in %
Feb-02,5.7,4.5,in %
Mar-02,5.8,4.4,in %
Apr-02,5.8,4.5,in %
May-02,5.8,4.6,in %
Jun-02,5.7,4.5,in %
Jul-02,5.7,4.5,in %
Aug-02,5.8,4.6,in %
Sep-02,5.9,4.6,in %
Oct-02,5.7,4.6,in %
Nov-02,5.7,4.6,in %
Dec-02,5.5,4.6,in %
Jan-03,5.4,4.5,in %
Feb-03,5.7,4.4,in %
Mar-03,5.8,4.4,in %
Apr-03,5.7,4.4,in %
May-03,5.6,4.3,in %
Jun-03,5.5,4.3,in %
Jul-03,5.6,4.4,in %
Aug-03,5.6,4.5,in %
Sep-03,5.5,4.5,in %
Oct-03,5.5,4.3,in %
Nov-03,5.4,4.3,in %
Dec-03,5.4,4.3,in %
Jan-04,5.3,4.2,in %
Feb-04,5.3,4.3,in %
Mar-04,5.2,4.3,in %
Apr-04,5.2,4.4,in %
May-04,5.1,4.4,in %
Jun-04,5.2,4.4,in %
Jul-04,5.1,4.3,in %
Aug-04,5.1,4.2,in %
Sep-04,5,4.3,in %
Oct-04,4.9,4.3,in %
Nov-04,5.1,4.2,in %
Dec-04,5.1,4.3,in %
Jan-05,5.1,4.2,in %
Feb-05,5.1,4.4,in %
Mar-05,5.1,4.2,in %
Apr-05,5.1,4.3,in %
May-05,5.1,4.3,in %
Jun-05,5.1,4.4,in %
Jul-05,5.1,4.2,in %
Aug-05,5.1,4.2,in %
Sep-05,5.1,4.3,in %
Oct-05,5.4,4.4,in %
Nov-05,5.5,4.6,in %
Dec-05,5.6,4.6,in %
Jan-06,5.4,4.7,in %
Feb-06,5.5,4.8,in %
Mar-06,5.6,4.8,in %
Apr-06,5.7,4.9,in %
May-06,5.8,4.9,in %
Jun-06,5.8,5.1,in %
Jul-06,5.8,5.1,in %
Aug-06,5.8,5.1,in %
Sep-06,5.8,5.1,in %
Oct-06,5.8,5.1,in %
Nov-06,5.7,5.1,in %
Dec-06,5.8,5.2,in %
Jan-07,5.8,5.2,in %
Feb-07,5.8,5.2,in %
Mar-07,5.8,5.2,in %
Apr-07,5.8,5.1,in %
May-07,5.7,5.1,in %
Jun-07,5.6,5,in %
Jul-07,5.6,5,in %
Aug-07,5.6,5,in %
Sep-07,5.6,5,in %
Oct-07,5.5,5,in %
Nov-07,5.5,5,in %
Dec-07,5.4,4.9,in %
Jan-08,5.5,4.8,in %
Feb-08,5.5,4.8,in %
Mar-08,5.5,4.8,in %
Apr-08,5.6,5,in %
May-08,5.5,4.8,in %
Jun-08,5.8,4.9,in %
Jul-08,5.9,5,in %
Aug-08,6.2,5.2,in %
Sep-08,6.3,5.3,in %
Oct-08,6.5,5.4,in %
